Name,Party,Parliament,Politician ID,RidingID,Province,Gender,ranfor43,reelected43,QuestionPeriod,PvtMemBills,Statements,Backbencher ,DOB1,AgeOnElectionDay,YearsServedAtTimeOfElection
Dean Allison,Conservative Party of Canada,42,5,35068,ON,M,Yes,Yes,42,0,19,0,1965-02-18,54,15.32328767
David Anderson,Conservative Party of Canada,42,9,47002,SK,M,No,.,53,1,20,0,1957-08-15,62,18.90958904
Charlie Angus,New Democratic Party,42,11,35107,ON,M,Yes,Yes,168,0,15,1,1962-11-14,56,15.32328767
Larry Bagnell,Liberal Party of Canada,42,15,60001,YT,M,Yes,Yes,11,1,15,1,1949-12-19,69,16.35068493
Navdeep Bains,Liberal Party of Canada,42,16,35062,ON,M,Yes,Yes,468,0,0,0,16-Jun-77,42,12.76712329
Churence Rogers,Liberal Party of Canada,43,10616,10002,NL,M,Yes,Yes,6,0,10,1,1953-06-03,66,1.860273973
Carolyn Bennett,Liberal Party of Canada,42,24,35090,ON,F,Yes,Yes,217,0,0,0,1950-12-20,68,22.4
James Bezan,Conservative Party of Canada,42,28,46010,MB,M,Yes,Yes,225,2,36,0,1965-05-19,54,15.32328767
Scott Brison,Liberal Party of Canada,42,44,12007,NS,M,No,.,172,0,0,0,1967-05-10,52,22.4
Gord Brown,Conservative Party of Canada,42,46,35050,ON,M,No,.,18,2,18,0,31-Aug-60,59,15.32328767
Colin Carrie,Conservative Party of Canada,42,55,35074,ON,M,Yes,Yes,67,1,34,0,1962-04-11,57,15.32328767
Bill Casey,Liberal Party of Canada,42,58,12003,NS,M,No,.,12,1,23,1,19-Feb-45,74,20.84383562
Michael Chong,Conservative Party of Canada,42,64,35113,ON,M,Yes,Yes,25,0,11,0,22-Nov-71,47,15.32328767
David Christopherson,New Democratic Party,42,65,35035,ON,M,No,.,16,0,9,1,1954-10-05,65,15.32328767
Nathan Cullen,New Democratic Party,42,75,59028,BC,M,No,.,195,3,16,1,1972-07-13,47,15.32328767
Rodger Cuzner,Liberal Party of Canada,42,78,12001,NS,M,No,.,75,0,19,1,1955-11-04,63,18.90958904
Wayne Easter,Liberal Party of Canada,42,96,11004,PE,M,Yes,Yes,8,1,26,1,1949-06-22,70,26.00547945
Mark Eyking,Liberal Party of Canada,42,100,12010,NS,M,No,.,12,0,31,1,1960-08-30,59,18.90958904
Diane Finley,Conservative Party of Canada,42,102,35033,ON,F,Yes,Yes,36,0,23,0,1957-10-03,62,15.32328767
Hedy Fry,Liberal Party of Canada,42,109,59034,BC,F,Yes,Yes,8,0,21,0,1941-08-06,78,26.00547945
Cheryl Gallant,Conservative Party of Canada,42,113,35086,ON,F,Yes,Yes,36,1,16,0,1960-05-23,59,2.052054795
Ralph Goodale,Liberal Party of Canada,42,121,47009,SK,M,Yes,No,573,0,0,0,1949-10-05,70,30.86849315
Richard Martel,Conservative Party of Canada,43,10628,24022,QC,M,Yes,Yes,25,0,3,0,1961-03-23,58,1.342465753
Mark Holland,Liberal Party of Canada,42,139,35001,ON,M,Yes,Yes,109,0,15,1,1974-10-16,45,10.85205479
Peter Julian,New Democratic Party,42,146,59019,BC,M,Yes,Yes,109,9,9,1,1962-04-16,57,15.32328767
Jason Kenney,Conservative Party of Canada,42,152,48008,AB,M,No,.,45,0,2,1,1968-05-30,51,22.4
Guy Lauzon,Conservative Party of Canada,42,163,35102,ON,M,No,.,2,0,12,1,1944-04-06,75,15.32328767
Dominic LeBlanc,Liberal Party of Canada,42,166,13002,NB,M,Yes,Yes,310,0,0,1,1967-12-14,51,18.90958904
Tom Lukiwski,Conservative Party of Canada,42,173,47005,SK,M,Yes,Yes,9,0,7,0,1951-10-05,68,15.32328767
Lawrence MacAulay,Liberal Party of Canada,42,176,11001,PE,M,Yes,Yes,210,0,1,0,1946-09-09,73,30.93424658
Dave MacKenzie,Conservative Party of Canada,42,178,35080,ON,M,Yes,Yes,3,0,2,1,1946-06-12,73,15.32328767
Brian Masse,New Democratic Party,42,189,35117,ON,M,Yes,Yes,52,6,15,1,1968-07-09,51,17.45205479
David McGuinty,Liberal Party of Canada,42,193,35077,ON,M,Yes,Yes,8,0,12,0,1960-02-25,59,15.32328767
John McKay,Liberal Party of Canada,42,195,35095,ON,M,Yes,Yes,79,1,18,0,1948-03-21,71,22.4
Larry Miller,Conservative Party of Canada,42,202,35014,ON,M,No,.,18,1,23,0,1956-07-21,63,15.32328767
Rob Nicholson,Conservative Party of Canada,42,212,35067,ON,M,No,.,57,1,24,0,1952-04-29,67,15.32328767
Deepak Obhrai,Conservative Party of Canada,42,216,48006,AB,M,No,.,12,1,11,0,1950-07-05,69,22.4
Louis Plamondon,Bloc Québécois,42,232,24009,QC,M,Yes,Yes,34,1,5,0,1943-07-31,76,35.15068493
Pierre Poilievre,Conservative Party of Canada,42,233,35088,ON,M,Yes,Yes,782,1,33,0,1979-06-03,40,15.32328767
Yasmin Ratansi,Liberal Party of Canada,42,240,35019,ON,F,Yes,Yes,9,0,35,1,1951-01-04,68,12.76712329
Geoff Regan,Liberal Party of Canada,42,242,12006,NS,M,Yes,Yes,25,0,1,1,1959-11-22,59,22.51232877
Scott Reid,Conservative Party of Canada,42,243,35049,ON,M,Yes,Yes,104,0,15,0,1964-01-25,55,18.90958904
Richard Hébert,Liberal Party of Canada,43,10609,24035,QC,M,Yes,No,3,0,15,1,,,1.994520548
Pablo Rodriguez,Liberal Party of Canada,42,248,24029,QC,M,Yes,Yes,60,1,13,0,1967-06-21,52,10.85205479
Anthony Rota,Liberal Party of Canada,42,249,35070,ON,M,Yes,Yes,1,0,15,1,1961-05-15,58,10.85205479
Francis Scarpaleggia,Liberal Party of Canada,42,255,24036,QC,M,Yes,Yes,5,1,15,0,1957-06-06,62,15.32328767
Andrew Scheer,Conservative Party of Canada,42,256,47008,SK,M,Yes,Yes,804,1,13,0,1979-05-20,40,15.32328767
Judy Sgro,Liberal Party of Canada,42,260,35121,ON,F,Yes,Yes,7,1,31,0,16-Dec-44,74,19.94520548
Scott Simms,Liberal Party of Canada,42,265,10003,NL,M,Yes,Yes,3,0,13,1,1969-08-12,50,15.32328767
Kevin Sorenson,Conservative Party of Canada,42,270,48002,AB,M,No,.,31,1,15,1,1958-11-03,60,10.85205479
David Allan Tilson,Conservative Party of Canada,42,286,35022,ON,M,No,.,0,0,13,1,19-Mar-41,78,15.32328767
Bradley Trost,Conservative Party of Canada,42,290,47011,SK,M,No,.,7,1,12,1,15-May-74,45,15.32328767
Mark Warawa,Conservative Party of Canada,42,300,59016,BC,M,No,.,16,1,15,0,1950-05-07,69,15.32328767
Borys Wrzesnewskyj,Liberal Party of Canada,42,306,35027,ON,M,No,.,10,0,21,1,1960-11-10,58,10.85205479
Harold Albrecht,Conservative Party of Canada,42,396,35046,ON,M,Yes,No,28,0,28,1,1949-10-15,70,13.75068493
Omar Alghabra,Liberal Party of Canada,42,397,35058,ON,M,Yes,Yes,57,0,34,1,1969-10-24,49,6.731506849
Maxime Bernier,Conservative Party of Canada,42,404,24007,QC,M,Yes,No,99,1,3,0,1963-01-18,56,13.75068493
Steven Blaney,Conservative Party of Canada,42,408,24010,QC,M,Yes,Yes,112,1,21,0,1965-04-08,54,13.75068493
Sylvie Boucher,Conservative Party of Canada,42,409,24020,QC,F,Yes,No,142,1,26,0,1962-12-18,56,9.279452055
Blaine Calkins,Conservative Party of Canada,42,412,48030,AB,M,Yes,Yes,173,2,26,1,1968-12-25,50,6.553424658
Tony Clement,Conservative Party of Canada,42,417,35082,ON,M,No,.,89,1,13,0,1961-01-27,58,13.75068493
Sukh Dhaliwal,Liberal Party of Canada,42,422,59033,BC,M,Yes,Yes,8,1,27,1,1960-10-01,59,9.279452055
Ed Fast,Conservative Party of Canada,42,424,59001,BC,M,Yes,Yes,115,0,15,0,1955-06-18,64,13.75068493
Jacques Gourde,Conservative Party of Canada,42,428,24042,QC,M,Yes,Yes,253,0,18,0,1964-01-13,55,13.75068493
Mike Lake,Conservative Party of Canada,42,434,48021,AB,M,Yes,Yes,20,0,9,0,1969-06-04,50,13.75068493
Irene Mathyssen,New Democratic Party,42,440,35051,ON,F,No,.,74,9,30,1,1951-08-16,68,13.75068493
Bev Shipley,Conservative Party of Canada,42,452,35048,ON,M,No,.,9,0,14,0,1947-06-22,72,13.75068493
Bruce Stanton,Conservative Party of Canada,42,453,35100,ON,M,Yes,Yes,0,0,5,1,1957-12-20,61,13.75068493
David Sweet,Conservative Party of Canada,42,456,35030,ON,M,Yes,Yes,25,0,31,1,1957-06-24,62,13.75068493
Dave Van Kesteren,Conservative Party of Canada,42,458,35017,ON,M,No,.,3,0,10,0,07-Oct-55,64,13.75068493
Chris Warkentin,Conservative Party of Canada,42,461,48024,AB,M,Yes,Yes,50,0,12,0,1978-11-20,40,5.482191781
Rachel Bendayan,Liberal Party of Canada,43,9475,24054,QC,F,Yes,Yes,1,0,3,1,10-May-80,39,0.652054795
Joyce Murray,Liberal Party of Canada,42,550,59039,BC,F,Yes,Yes,25,0,28,0,1954-07-11,65,11.60273973
Emmanuella Lambropoulos,Liberal Party of Canada,43,10604,24068,QC,F,Yes,Yes,12,0,14,1,12-Sep-91,28,2.550684932
Alexandra Mendès,Liberal Party of Canada,42,562,24017,QC,F,Yes,Yes,18,1,34,1,1963-11-03,55,6.553424658
Justin Trudeau,Liberal Party of Canada,42,567,24055,QC,M,Yes,Yes,3208,0,1,0,1971-12-25,47,11.02465753
Marc Garneau,Liberal Party of Canada,42,572,24053,QC,M,Yes,Yes,448,0,0,0,1949-02-23,70,11.02465753
Carol Hughes,New Democratic Party,42,573,35002,ON,F,Yes,Yes,1,1,21,0,1958-11-26,60,11.02465753
Phil McColeman,Conservative Party of Canada,42,575,35013,ON,M,Yes,Yes,66,0,21,0,1954-03-15,65,11.02465753
Rob Oliphant,Liberal Party of Canada,42,576,35021,ON,M,Yes,Yes,40,0,30,1,07-Jun-56,63,11.02465753
Kirsty Duncan,Liberal Party of Canada,42,577,35029,ON,F,Yes,Yes,76,0,0,0,1966-10-31,52,11.02465753
Lisa Raitt,Conservative Party of Canada,42,579,35057,ON,F,Yes,No,312,1,12,0,1968-05-07,51,11.02465753
Ben Lobb,Conservative Party of Canada,42,580,35040,ON,M,Yes,Yes,9,1,12,0,1976-09-10,43,11.02465753
Peter Kent,Conservative Party of Canada,42,594,35104,ON,M,Yes,Yes,234,0,22,0,1943-07-27,76,11.02465753
Niki Ashton,New Democratic Party,42,598,46003,MB,F,Yes,Yes,87,0,19,1,1982-09-09,37,11.02465753
Candice Bergen,Conservative Party of Canada,42,600,46007,MB,F,Yes,Yes,529,0,18,0,1964-09-28,55,11.02465753
Randy Hoback,Conservative Party of Canada,42,603,47006,SK,M,Yes,Yes,18,0,15,1,1967-12-19,51,11.02465753
Kelly Block,Conservative Party of Canada,42,604,47004,SK,F,Yes,Yes,80,0,28,0,1961-11-30,57,11.02465753
Linda Duncan,New Democratic Party,42,608,48019,AB,F,No,.,73,3,20,1,25-Jun-49,70,11.02465753
Earl Dreeshen,Conservative Party of Canada,42,610,48029,AB,M,Yes,Yes,11,0,17,1,1953-07-09,66,11.02465753
Blake Richards,Conservative Party of Canada,42,611,48001,AB,M,Yes,Yes,128,0,19,0,1974-11-08,44,11.02465753
Cathy McLeod,Conservative Party of Canada,42,612,59013,BC,F,Yes,Yes,156,2,29,0,1957-06-12,62,11.02465753
Alice Wong,Conservative Party of Canada,42,614,59025,BC,F,Yes,Yes,34,0,16,0,27-Mar-74,45,11.02465753
Don Davies,New Democratic Party,42,616,59038,BC,M,Yes,Yes,80,22,22,1,1963-01-16,56,11.02465753
Brigitte Sansoucy,New Democratic Party,42,799,24066,QC,F,Yes,No,191,1,20,1,01-Jan-63,56,4.008219178
Bob Saroya,Conservative Party of Canada,42,869,35056,ON,M,Yes,Yes,35,2,37,0,03-Feb-52,67,4.008219178
Eva Nassif,Liberal Party of Canada,42,903,24078,QC,F,No,.,21,0,34,0,,,4.008219178
