Name,Party,Election,Politician ID,Riding ID,Province,Gender,ranfor44,reelected44,QuestionPeriod,PvtMemBills,StatementsByMembers,Backbencher,DOB,AgeOnElectionDay,YearsServedAtElection
Dean Allison,Conservative Party of Canada,43,5,35068,ON,M,Yes,Yes,1,0,2,1,1965-02-18,56,17.24109589
Charlie Angus,New Democratic Party,43,11,35107,ON,M,Yes,Yes,41,0,3,1,1962-11-14,58,17.24109589
Larry Bagnell,Liberal Party of Canada,43,15,60001,YT,M,No,.,0,0,0,1,1949-12-19,71,16.35616438
Navdeep Bains,Liberal Party of Canada,43,16,35062,ON,M,No,.,32,0,0,0,1977-06-16,44,12.76986301
Carolyn Bennett,Liberal Party of Canada,43,24,35090,ON,F,Yes,Yes,38,0,0,0,1950-12-20,70,24.31780822
James Bezan,Conservative Party of Canada,43,28,46010,MB,M,Yes,Yes,82,0,9,0,1965-05-19,56,17.24109589
Colin Carrie,Conservative Party of Canada,43,55,35074,ON,M,Yes,Yes,14,0,5,0,1962-04-11,59,17.24109589
Michael Chong,Conservative Party of Canada,43,64,35113,ON,M,Yes,Yes,101,0,7,0,1971-11-22,49,17.24109589
Wayne Easter,Liberal Party of Canada,43,96,11004,PE,M,No,.,4,0,3,1,1949-06-22,72,27.92328767
Diane Finley,Conservative Party of Canada,43,102,35033,ON,F,No,.,3,0,2,1,1957-10-03,63,17.24109589
Hedy Fry,Liberal Party of Canada,43,109,59034,BC,F,Yes,Yes,5,0,4,1,1941-08-06,80,27.92328767
Cheryl Gallant,Conservative Party of Canada,43,113,35086,ON,F,Yes,Yes,17,1,6,0,1960-05-23,61,3.969863014
Mark Holland,Liberal Party of Canada,43,139,35001,ON,M,Yes,Yes,1,0,0,1,1974-10-16,46,12.76986301
Peter Julian,New Democratic Party,43,146,59019,BC,M,Yes,Yes,31,4,2,1,1962-04-16,59,17.24109589
Dominic LeBlanc,Liberal Party of Canada,43,166,13002,NB,M,Yes,Yes,14,0,0,0,1967-12-14,53,20.82739726
Tom Lukiwski,Conservative Party of Canada,43,173,47005,SK,M,No,.,0,0,0,1,1951-10-05,69,17.24109589
Lawrence MacAulay,Liberal Party of Canada,43,176,11001,PE,M,Yes,Yes,36,0,0,0,1946-09-09,75,32.85205479
Dave MacKenzie,Conservative Party of Canada,43,178,35080,ON,M,Yes,Yes,0,0,1,1,1946-06-12,75,17.24109589
Brian Masse,New Democratic Party,43,189,35117,ON,M,Yes,Yes,21,5,2,1,1968-07-09,53,19.36986301
David McGuinty,Liberal Party of Canada,43,193,35077,ON,M,Yes,Yes,5,0,1,1,1960-02-25,61,17.24109589
John McKay,Liberal Party of Canada,43,195,35095,ON,M,Yes,Yes,1,0,2,1,1948-03-21,73,24.31780822
Rob Moore,Conservative Party of Canada,43,207,13004,NB,M,Yes,Yes,16,0,0,0,1974-05-14,47,13.23013699
Louis Plamondon,Bloc Québécois,43,232,24009,QC,M,Yes,Yes,1,1,1,1,1943-07-31,78,37.06849315
Pierre Poilievre,Conservative Party of Canada,43,233,35088,ON,M,Yes,Yes,177,0,2,0,1979-06-03,42,17.24109589
Yasmin Ratansi,Liberal Party of Canada,43,240,35019,ON,F,No,.,10,0,4,1,1951-01-04,70,12.76986301
Geoff Regan,Liberal Party of Canada,43,242,12006,NS,M,No,.,6,0,4,1,1959-11-22,61,24.43013699
Scott Reid,Conservative Party of Canada,43,243,35049,ON,M,Yes,Yes,3,0,3,1,1964-01-25,57,20.82739726
Pablo Rodriguez,Liberal Party of Canada,43,248,24029,QC,M,Yes,Yes,263,0,0,0,1967-06-21,54,12.76986301
Anthony Rota,Liberal Party of Canada,43,249,35070,ON,M,Yes,Yes,11,0,29,1,1961-05-15,60,17.24109589
Francis Scarpaleggia,Liberal Party of Canada,43,255,24036,QC,M,Yes,Yes,10,0,6,1,1957-06-06,64,17.24109589
Andrew Scheer,Conservative Party of Canada,43,256,47008,SK,M,Yes,Yes,119,1,0,0,1979-05-20,42,17.24109589
Judy Sgro,Liberal Party of Canada,43,260,35121,ON,F,Yes,Yes,4,0,6,1,1944-12-16,76,21.8630137
Scott Simms,Liberal Party of Canada,43,265,10003,NL,M,Yes,No,4,0,2,1,1969-08-12,52,17.24109589
Omar Alghabra,Liberal Party of Canada,43,397,35058,ON,M,Yes,Yes,62,0,1,0,1969-10-24,51,8.649315068
Steven Blaney,Conservative Party of Canada,43,408,24010,QC,M,No,.,27,0,4,0,1965-04-08,56,15.66849315
Blaine Calkins,Conservative Party of Canada,43,412,48030,AB,M,Yes,Yes,19,1,6,1,1968-12-25,52,15.66849315
Claude Debellefeuille,Bloc Québécois,43,419,24071,QC,F,Yes,Yes,34,3,10,1,Dec-63,57,7.189041096
Sukh Dhaliwal,Liberal Party of Canada,43,422,59033,BC,M,Yes,Yes,5,0,4,1,1960-10-01,60,11.19726027
Ed Fast,Conservative Party of Canada,43,424,59001,BC,M,Yes,Yes,55,0,3,0,1955-06-18,66,15.66849315
Jacques Gourde,Conservative Party of Canada,43,428,24042,QC,M,Yes,Yes,35,1,6,1,1964-01-13,57,15.66849315
Mike Lake,Conservative Party of Canada,43,434,48021,AB,M,Yes,Yes,7,0,3,0,1969-06-04,52,15.66849315
Bruce Stanton,Conservative Party of Canada,43,453,35100,ON,M,No,.,0,0,6,1,1957-12-20,63,15.66849315
David Sweet,Conservative Party of Canada,43,456,35030,ON,M,No,.,6,0,5,0,1957-06-24,64,15.66849315
Chris Warkentin,Conservative Party of Canada,43,461,48024,AB,M,Yes,Yes,2,0,2,1,1978-11-20,42,15.66849315
Joyce Murray,Liberal Party of Canada,43,550,59039,BC,F,Yes,Yes,5,0,0,0,1954-07-11,67,13.52054795
